ward_id,segment_length_m,water_proximity,house_density,citizen_pressure,rainfall_sensor_mm,pump_runtime_hours,last_maintenance_days,blocked_target,mid_lat,mid_lon
3,39.629,0.88375,143.0,0.36773,62.2319,8.9953,68.3382,1,23.826175,90.370553
3,33.668,0.87725,117.0,0.24609,38.2648,6.857,33.4865,1,23.825851,90.370621
3,41.296,0.87076,102.0,0.51404,34.8638,5.3123,58.8575,1,23.825519,90.370677
3,17.376,0.86545,89.0,0.21739,60.889,6.2647,37.6013,1,23.825264,90.370741
3,16.616,0.86208,85.0,0.66977,15.3465,6.9915,54.662,1,23.825165,90.370844
3,17.365,0.86023,82.0,0.49629,28.9227,4.3254,96.6325,1,23.82506,90.370931
3,78.643,0.85477,70.0,0.16949,25.772,7.904,75.7119,1,23.824638,90.371026
3,75.456,0.8459,61.0,0.35924,46.2219,7.065,65.3624,1,23.82396,90.371173
3,26.777,0.83998,53.0,0.26836,29.001,4.6457,96.6716,1,23.823509,90.371268
3,27.117,0.83676,44.0,0.58848,40.9782,7.0896,56.7008,1,23.82327,90.371313
3,33.003,0.83317,32.0,0.55353,50.7293,3.8307,87.1221,1,23.823004,90.371364
3,30.499,0.82948,18.0,0.26725,32.439,4.2121,82.1895,1,23.822724,90.371422
3,8.152,0.82838,15.0,0.42035,36.0801,3.0708,77.8742,1,23.822594,90.371487
3,29.382,0.83149,13.0,0.53466,33.8364,7.577,89.8824,1,23.822613,90.371655
3,102.957,0.84283,10.0,0.26505,35.7029,4.6825,70.5457,1,23.822704,90.372243
3,12.395,0.85116,9.0,0.39578,59.5568,4.8227,42.7601,1,23.822727,90.37272
3,40.169,0.84818,3.0,0.33092,51.9411,3.6326,39.5834,1,23.822497,90.372771
3,51.953,0.84085,0.0,0.41912,31.8346,8.1913,25.474,0,23.822088,90.372841
3,4.0,0.83618,0.0,0.54245,54.8599,6.2781,22.2701,1,23.821846,90.372879
4,25.968,0.81805,144.0,0.51944,35.7211,8.0562,92.8499,1,23.812165,90.3736
4,35.15,0.82324,147.0,0.45352,10.4679,6.4844,79.2708,1,23.812126,90.373327
4,11.213,0.82705,148.0,0.48665,49.1329,8.4749,137.0456,1,23.812105,90.37312
4,11.334,0.82863,147.0,0.44221,37.7131,7.8056,88.9523,1,23.812112,90.373019
4,32.743,0.8303,151.0,0.53077,58.149,7.7801,115.5929,1,23.81219,90.372839
4,32.68,0.83226,154.0,0.41969,45.442,5.9669,140.114,1,23.812332,90.37258
