id,ward_id,title,category,agency,permit_required,estimated_cost_lakh,expected_beneficiaries,beneficiary_ci_low,beneficiary_ci_high,beneficiary_method,impact_per_lakh,feasibility,equity_need,urgency,impact_signal
1,1,Drain cleaning micro-package - Cluster 1,Drainage,City Corporation,False,1.317,1023,668,1414,bayesian-gamma-poisson-montecarlo-v2,776.503,0.4634,0.5075,0.562,0.48884
2,1,Road patch and resurfacing - Cluster 2,Road,LGED,False,2.799,933,607,1273,bayesian-gamma-poisson-montecarlo-v2,333.373,0.8655,0.4523,0.466,0.48156
3,1,Waste hotspot clearance - Cluster 3,Waste,City Corporation,False,0.844,911,586,1271,bayesian-gamma-poisson-montecarlo-v2,1079.991,0.7404,0.5294,0.4832,0.56293
4,1,Pocket park and tree corridor - Cluster 4,Green,RAJUK,True,0.552,907,596,1230,bayesian-gamma-poisson-montecarlo-v2,1644.462,0.6928,0.547,0.4434,0.61794
5,1,Canal edge desilting - Cluster 5,Water,WASA,True,2.26,1005,688,1383,bayesian-gamma-poisson-montecarlo-v2,444.775,0.6597,0.4561,0.5439,0.51356
6,1,Community safety lighting - Cluster 6,Public Safety,City Corporation,False,1.008,926,592,1273,bayesian-gamma-poisson-montecarlo-v2,918.891,0.393,0.5653,0.5195,0.51111
7,1,Drain cleaning micro-package - Cluster 7,Drainage,City Corporation,False,0.44,996,666,1349,bayesian-gamma-poisson-montecarlo-v2,2265.144,0.6327,0.4304,0.602,0.70894
8,1,Road patch and resurfacing - Cluster 8,Road,LGED,False,1.859,922,588,1271,bayesian-gamma-poisson-montecarlo-v2,495.938,0.8694,0.4205,0.4246,0.51447
9,1,Waste hotspot clearance - Cluster 9,Waste,City Corporation,False,0.582,895,585,1203,bayesian-gamma-poisson-montecarlo-v2,1537.384,0.7748,0.5264,0.4339,0.6152
10,1,Pocket park and tree corridor - Cluster 10,Green,RAJUK,True,1.771,926,557,1336,bayesian-gamma-poisson-montecarlo-v2,522.93,0.6481,0.4442,0.5859,0.5028
11,1,Canal edge desilting - Cluster 11,Water,WASA,True,1.905,977,646,1322,bayesian-gamma-poisson-montecarlo-v2,512.945,0.4881,0.5233,0.6057,0.53289
12,1,Community safety lighting - Cluster 12,Public Safety,City Corporation,False,0.81,925,607,1279,bayesian-gamma-poisson-montecarlo-v2,1141.469,0.9127,0.4286,0.5386,0.59556
13,1,Drain cleaning micro-package - Cluster 13,Drainage,City Corporation,False,1.025,987,666,1307,bayesian-gamma-poisson-montecarlo-v2,963.128,0.2,0.417,0.6529,0.45575
14,1,Road patch and resurfacing - Cluster 14,Road,LGED,True,1.855,917,613,1239,bayesian-gamma-poisson-montecarlo-v2,494.454,0.7139,0.6752,0.4981,0.58022
15,1,Waste hotspot clearance - Cluster 15,Waste,City Corporation,False,1.05,900,609,1295,bayesian-gamma-poisson-montecarlo-v2,857.148,0.99,0.4098,0.4803,0.59818
16,1,Pocket park and tree corridor - Cluster 16,Green,RAJUK,True,1.217,927,620,1257,bayesian-gamma-poisson-montecarlo-v2,762.017,0.8758,0.4779,0.5221,0.59191
17,1,Canal edge desilting - Cluster 17,Water,WASA,False,1.455,988,629,1330,bayesian-gamma-poisson-montecarlo-v2,678.806,0.9442,0.412,0.7068,0.59319
18,1,Community safety lighting - Cluster 18,Public Safety,City Corporation,False,0.818,930,568,1327,bayesian-gamma-poisson-montecarlo-v2,1136.575,0.7957,0.5974,0.4968,0.60946
19,1,Drain cleaning micro-package - Cluster 19,Drainage,City Corporation,False,0.546,999,664,1349,bayesian-gamma-poisson-montecarlo-v2,1830.4,0.7672,0.5303,0.468,0.64874
20,1,Road patch and resurfacing - Cluster 20,Road,LGED,True,2.537,934,573,1300,bayesian-gamma-poisson-montecarlo-v2,368.171,0.99,0.6175,0.4691,0.57839
